IncidntNum,Category,Date
1968,LARCENY/THEFT,05/01/2009 12:00:00 AM
47,STOLEN PROPERTY,05/01/2009 12:00:00 AM
546,VANDALISM,05/01/2009 12:00:00 AM
401,VEHICLE THEFT,05/01/2009 12:00:00 AM
15,ARSON,06/01/2009 12:00:00 AM
432,BURGLARY,06/01/2009 12:00:00 AM
1851,LARCENY/THEFT,06/01/2009 12:00:00 AM
51,STOLEN PROPERTY,06/01/2009 12:00:00 AM
528,VANDALISM,06/01/2009 12:00:00 AM
393,VEHICLE THEFT,06/01/2009 12:00:00 AM
30,ARSON,07/01/2009 12:00:00 AM
475,BURGLARY,07/01/2009 12:00:00 AM
2319,LARCENY/THEFT,07/01/2009 12:00:00 AM
56,STOLEN PROPERTY,07/01/2009 12:00:00 AM
667,VANDALISM,07/01/2009 12:00:00 AM
435,VEHICLE THEFT,07/01/2009 12:00:00 AM
18,ARSON,08/01/2009 12:00:00 AM
453,BURGLARY,08/01/2009 12:00:00 AM
2499,LARCENY/THEFT,08/01/2009 12:00:00 AM
54,STOLEN PROPERTY,08/01/2009 12:00:00 AM
702,VANDALISM,08/01/2009 12:00:00 AM
488,VEHICLE THEFT,08/01/2009 12:00:00 AM
18,ARSON,09/01/2009 12:00:00 AM
413,BURGLARY,09/01/2009 12:00:00 AM
2295,LARCENY/THEFT,09/01/2009 12:00:00 AM
61,STOLEN PROPERTY,09/01/2009 12:00:00 AM
684,VANDALISM,09/01/2009 12:00:00 AM
433,VEHICLE THEFT,09/01/2009 12:00:00 AM
14,ARSON,10/01/2009 12:00:00 AM
428,BURGLARY,10/01/2009 12:00:00 AM
2226,LARCENY/THEFT,10/01/2009 12:00:00 AM
59,STOLEN PROPERTY,10/01/2009 12:00:00 AM
742,VANDALISM,10/01/2009 12:00:00 AM
414,VEHICLE THEFT,10/01/2009 12:00:00 AM
25,ARSON,11/01/2009 12:00:00 AM
437,BURGLARY,11/01/2009 12:00:00 AM
2143,LARCENY/THEFT,11/01/2009 12:00:00 AM
53,STOLEN PROPERTY,11/01/2009 12:00:00 AM
674,VANDALISM,11/01/2009 12:00:00 AM
434,VEHICLE THEFT,11/01/2009 12:00:00 AM
13,ARSON,12/01/2009 12:00:00 AM
475,BURGLARY,12/01/2009 12:00:00 AM
2147,LARCENY/THEFT,12/01/2009 12:00:00 AM
56,STOLEN PROPERTY,12/01/2009 12:00:00 AM
677,VANDALISM,12/01/2009 12:00:00 AM
374,VEHICLE THEFT,12/01/2009 12:00:00 AM
19,ARSON,01/01/2010 12:00:00 AM
420,BURGLARY,01/01/2010 12:00:00 AM
2088,LARCENY/THEFT,01/01/2010 12:00:00 AM
61,STOLEN PROPERTY,01/01/2010 12:00:00 AM
694,VANDALISM,01/01/2010 12:00:00 AM
366,VEHICLE THEFT,01/01/2010 12:00:00 AM
9,ARSON,02/01/2010 12:00:00 AM
372,BURGLARY,02/01/2010 12:00:00 AM
1683,LARCENY/THEFT,02/01/2010 12:00:00 AM
49,STOLEN PROPERTY,02/01/2010 12:00:00 AM
577,VANDALISM,02/01/2010 12:00:00 AM
363,VEHICLE THEFT,02/01/2010 12:00:00 AM
18,ARSON,03/01/2010 12:00:00 AM
399,BURGLARY,03/01/2010 12:00:00 AM
1901,LARCENY/THEFT,03/01/2010 12:00:00 AM
52,STOLEN PROPERTY,03/01/2010 12:00:00 AM
591,VANDALISM,03/01/2010 12:00:00 AM
351,VEHICLE THEFT,03/01/2010 12:00:00 AM
15,ARSON,04/01/2010 12:00:00 AM
434,BURGLARY,04/01/2010 12:00:00 AM
1774,LARCENY/THEFT,04/01/2010 12:00:00 AM
56,STOLEN PROPERTY,04/01/2010 12:00:00 AM
659,VANDALISM,04/01/2010 12:00:00 AM
325,VEHICLE THEFT,04/01/2010 12:00:00 AM
20,ARSON,05/01/2010 12:00:00 AM
492,BURGLARY,05/01/2010 12:00:00 AM
1920,LARCENY/THEFT,05/01/2010 12:00:00 AM
59,STOLEN PROPERTY,05/01/2010 12:00:00 AM
700,VANDALISM,05/01/2010 12:00:00 AM
271,VEHICLE THEFT,05/01/2010 12:00:00 AM
22,ARSON,06/01/2010 12:00:00 AM
456,BURGLARY,06/01/2010 12:00:00 AM
1944,LARCENY/THEFT,06/01/2010 12:00:00 AM
55,STOLEN PROPERTY,06/01/2010 12:00:00 AM
702,VANDALISM,06/01/2010 12:00:00 AM
366,VEHICLE THEFT,06/01/2010 12:00:00 AM
18,ARSON,07/01/2010 12:00:00 AM
429,BURGLARY,07/01/2010 12:00:00 AM
2103,LARCENY/THEFT,07/01/2010 12:00:00 AM
48,STOLEN PROPERTY,07/01/2010 12:00:00 AM
641,VANDALISM,07/01/2010 12:00:00 AM
386,VEHICLE THEFT,07/01/2010 12:00:00 AM
21,ARSON,08/01/2010 12:00:00 AM
400,BURGLARY,08/01/2010 12:00:00 AM
2271,LARCENY/THEFT,08/01/2010 12:00:00 AM
64,STOLEN PROPERTY,08/01/2010 12:00:00 AM
681,VANDALISM,08/01/2010 12:00:00 AM
380,VEHICLE THEFT,08/01/2010 12:00:00 AM
19,ARSON,09/01/2010 12:00:00 AM
384,BURGLARY,09/01/2010 12:00:00 AM
2158,LARCENY/THEFT,09/01/2010 12:00:00 AM
44,STOLEN PROPERTY,09/01/2010 12:00:00 AM
664,VANDALISM,09/01/2010 12:00:00 AM
403,VEHICLE THEFT,09/01/2010 12:00:00 AM
20,ARSON,10/01/2010 12:00:00 AM
391,BURGLARY,10/01/2010 12:00:00 AM
2117,LARCENY/THEFT,10/01/2010 12:00:00 AM
55,STOLEN PROPERTY,10/01/2010 12:00:00 AM
656,VANDALISM,10/01/2010 12:00:00 AM
357,VEHICLE THEFT,10/01/2010 12:00:00 AM
17,ARSON,11/01/2010 12:00:00 AM
380,BURGLARY,11/01/2010 12:00:00 AM
2155,LARCENY/THEFT,11/01/2010 12:00:00 AM
56,STOLEN PROPERTY,11/01/2010 12:00:00 AM
612,VANDALISM,11/01/2010 12:00:00 AM
396,VEHICLE THEFT,11/01/2010 12:00:00 AM
6,ARSON,12/01/2010 12:00:00 AM
385,BURGLARY,12/01/2010 12:00:00 AM
2098,LARCENY/THEFT,12/01/2010 12:00:00 AM
50,STOLEN PROPERTY,12/01/2010 12:00:00 AM
566,VANDALISM,12/01/2010 12:00:00 AM
372,VEHICLE THEFT,12/01/2010 12:00:00 AM
24,ARSON,01/01/2011 12:00:00 AM
435,BURGLARY,01/01/2011 12:00:00 AM
2075,LARCENY/THEFT,01/01/2011 12:00:00 AM
73,STOLEN PROPERTY,01/01/2011 12:00:00 AM
650,VANDALISM,01/01/2011 12:00:00 AM
334,VEHICLE THEFT,01/01/2011 12:00:00 AM
16,ARSON,02/01/2011 12:00:00 AM
309,BURGLARY,02/01/2011 12:00:00 AM
1900,LARCENY/THEFT,02/01/2011 12:00:00 AM
57,STOLEN PROPERTY,02/01/2011 12:00:00 AM
575,VANDALISM,02/01/2011 12:00:00 AM
311,VEHICLE THEFT,02/01/2011 12:00:00 AM
11,ARSON,03/01/2011 12:00:00 AM
370,BURGLARY,03/01/2011 12:00:00 AM
2235,LARCENY/THEFT,03/01/2011 12:00:00 AM
54,STOLEN PROPERTY,03/01/2011 12:00:00 AM
664,VANDALISM,03/01/2011 12:00:00 AM
460,VEHICLE THEFT,03/01/2011 12:00:00 AM
21,ARSON,04/01/2011 12:00:00 AM
372,BURGLARY,04/01/2011 12:00:00 AM
2016,LARCENY/THEFT,04/01/2011 12:00:00 AM
53,STOLEN PROPERTY,04/01/2011 12:00:00 AM
653,VANDALISM,04/01/2011 12:00:00 AM
359,VEHICLE THEFT,04/01/2011 12:00:00 AM
11,ARSON,05/01/2011 12:00:00 AM
395,BURGLARY,05/01/2011 12:00:00 AM
2191,LARCENY/THEFT,05/01/2011 12:00:00 AM
64,STOLEN PROPERTY,05/01/2011 12:00:00 AM
578,VANDALISM,05/01/2011 12:00:00 AM
374,VEHICLE THEFT,05/01/2011 12:00:00 AM
13,ARSON,06/01/2011 12:00:00 AM
389,BURGLARY,06/01/2011 12:00:00 AM
2009,LARCENY/THEFT,06/01/2011 12:00:00 AM
64,STOLEN PROPERTY,06/01/2011 12:00:00 AM
564,VANDALISM,06/01/2011 12:00:00 AM
348,VEHICLE THEFT,06/01/2011 12:00:00 AM
20,ARSON,07/01/2011 12:00:00 AM
370,BURGLARY,07/01/2011 12:00:00 AM
2085,LARCENY/THEFT,07/01/2011 12:00:00 AM
44,STOLEN PROPERTY,07/01/2011 12:00:00 AM
590,VANDALISM,07/01/2011 12:00:00 AM
274,VEHICLE THEFT,07/01/2011 12:00:00 AM
17,ARSON,08/01/2011 12:00:00 AM
459,BURGLARY,08/01/2011 12:00:00 AM
2130,LARCENY/THEFT,08/01/2011 12:00:00 AM
80,STOLEN PROPERTY,08/01/2011 12:00:00 AM
554,VANDALISM,08/01/2011 12:00:00 AM
370,VEHICLE THEFT,08/01/2011 12:00:00 AM
17,ARSON,09/01/2011 12:00:00 AM
465,BURGLARY,09/01/2011 12:00:00 AM
2058,LARCENY/THEFT,09/01/2011 12:00:00 AM
65,STOLEN PROPERTY,09/01/2011 12:00:00 AM
507,VANDALISM,09/01/2011 12:00:00 AM
453,VEHICLE THEFT,09/01/2011 12:00:00 AM
14,ARSON,10/01/2011 12:00:00 AM
416,BURGLARY,10/01/2011 12:00:00 AM
2307,LARCENY/THEFT,10/01/2011 12:00:00 AM
63,STOLEN PROPERTY,10/01/2011 12:00:00 AM
588,VANDALISM,10/01/2011 12:00:00 AM
510,VEHICLE THEFT,10/01/2011 12:00:00 AM
17,ARSON,11/01/2011 12:00:00 AM
472,BURGLARY,11/01/2011 12:00:00 AM
2219,LARCENY/THEFT,11/01/2011 12:00:00 AM
72,STOLEN PROPERTY,11/01/2011 12:00:00 AM
534,VANDALISM,11/01/2011 12:00:00 AM
451,VEHICLE THEFT,11/01/2011 12:00:00 AM
12,ARSON,12/01/2011 12:00:00 AM
475,BURGLARY,12/01/2011 12:00:00 AM
2404,LARCENY/THEFT,12/01/2011 12:00:00 AM
59,STOLEN PROPERTY,12/01/2011 12:00:00 AM
620,VANDALISM,12/01/2011 12:00:00 AM
499,VEHICLE THEFT,12/01/2011 12:00:00 AM
28,ARSON,01/01/2012 12:00:00 AM
464,BURGLARY,01/01/2012 12:00:00 AM
2187,LARCENY/THEFT,01/01/2012 12:00:00 AM
72,STOLEN PROPERTY,01/01/2012 12:00:00 AM
589,VANDALISM,01/01/2012 12:00:00 AM
428,VEHICLE THEFT,01/01/2012 12:00:00 AM
16,ARSON,02/01/2012 12:00:00 AM
453,BURGLARY,02/01/2012 12:00:00 AM
2086,LARCENY/THEFT,02/01/2012 12:00:00 AM
68,STOLEN PROPERTY,02/01/2012 12:00:00 AM
593,VANDALISM,02/01/2012 12:00:00 AM
